code,name,registred,envelops,valid,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Strana svobodných občanů,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
538671,Přezletice,1103,842,841,0,0,38,3,186,10,0,53,16,10,133,35,0
538698,Radějovice,324,245,244,1,0,5,0,58,2,0,14,4,1,44,12,0
538701,Radonice,705,491,485,1,0,36,0,104,3,0,45,6,7,66,17,0
538728,Říčany,11198,7967,7926,7,4,291,15,1393,51,3,820,127,149,1332,344,16
598283,Sedlec,237,198,197,0,0,5,0,44,1,0,13,5,8,28,12,0
538752,Senohraby,927,697,693,0,1,39,0,132,5,2,62,18,12,110,32,3
538761,Sibřina,571,374,373,0,0,12,4,77,1,0,22,2,2,63,20,1
538779,Sluhy,539,353,352,1,0,11,2,63,1,0,22,4,2,44,6,1
538787,Sluštice,376,260,257,0,0,13,2,39,2,0,12,4,3,44,15,5
538809,Strančice,1700,1194,1184,1,0,68,2,185,2,0,108,24,13,226,50,2
538825,Struhařov,657,454,447,0,0,18,1,79,3,0,45,5,6,84,23,2
533718,Stříbrná Skalice,1072,675,674,2,0,34,0,87,4,0,61,15,8,114,35,0
571954,Sudovo Hlavno,393,239,239,2,0,13,0,38,1,0,20,1,2,23,13,0
538833,Sulice,1325,1031,1019,1,0,37,1,226,6,0,67,16,17,155,34,1
598305,Svémyslice,289,214,213,0,0,9,1,50,0,0,17,1,1,27,12,0
538841,Světice,892,677,662,0,0,27,2,103,6,0,57,14,9,99,31,0
538850,Svojetice,747,535,531,1,0,28,0,98,3,0,43,11,14,100,18,0
538876,Šestajovice,2479,1832,1827,0,4,36,2,448,4,1,151,36,21,254,73,2
538884,Škvorec,1171,799,796,1,1,28,2,159,6,1,56,14,13,121,38,2
571644,Štíhlice,144,94,93,0,0,8,0,9,0,0,11,1,0,12,6,0
538892,Tehov,648,455,452,0,0,18,2,91,6,0,35,3,9,86,16,0
599719,Tehovec,476,339,337,0,0,17,0,91,5,0,22,6,6,35,9,1
538957,Úvaly,4788,3386,3370,6,4,124,4,579,14,2,330,64,50,528,201,3
538965,Veleň,945,670,665,1,0,21,2,125,2,1,37,23,7,98,31,1
538973,Veliká Ves,241,147,145,0,0,9,2,32,0,0,6,3,1,20,8,0
538981,Velké Popovice,1972,1343,1329,0,0,60,6,242,11,0,133,21,16,144,57,2
538990,Větrušice,455,315,314,1,0,20,1,36,5,0,20,8,8,44,23,5
533874,Vlkančice,172,120,119,0,0,7,0,20,2,0,16,3,1,11,6,0
539015,Vodochody,457,284,282,0,1,25,0,37,6,0,13,2,2,40,14,1
539031,Všestary,626,438,434,0,1,24,1,80,2,0,41,4,3,68,14,0
539040,Vyšehořovice,501,325,322,0,0,33,0,28,1,0,14,2,2,55,6,7
564796,Výžerky,116,74,74,1,0,5,0,6,1,0,4,2,0,7,5,0
533904,Vyžlovka,503,376,375,2,0,13,3,65,3,0,36,2,7,48,5,2
505781,Zápy,579,376,375,1,0,23,0,61,3,2,26,6,4,50,28,3
535362,Záryby,721,477,473,0,0,34,0,85,5,0,28,4,2,53,20,1
539058,Zdiby,2277,1632,1623,0,1,48,5,316,5,0,102,38,23,280,72,0
539066,Zeleneč,2075,1543,1535,1,1,47,1,284,5,1,130,35,21,254,40,3
513644,Zlatá,222,162,162,0,0,6,0,29,0,0,10,2,3,26,7,0
539082,Zlonín,427,300,299,7,0,9,0,66,5,0,10,24,4,38,15,2
539091,Zvánovice,430,316,314,0,0,22,0,56,7,0,38,4,5,30,8,0
