code,name,registred,envelops,valid,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Komunistická str.Čech a Moravy,Občanská demokratická aliance,Občanská demokratická strana,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,STAROSTOVÉ A NEZÁVISLÍ,Strana svobodných občanů,Strana zelených,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
536636,Skalsko,321,214,214,0,0,11,0,17,3,0,22,3,2,24,16,0
557030,Skorkov,476,341,339,0,0,17,2,55,2,2,21,6,2,46,23,1
536652,Smilovice,553,316,313,0,0,14,1,33,3,0,17,6,6,32,18,2
536661,Sojovice,437,295,291,0,1,19,0,63,3,0,8,1,1,29,17,2
565539,Sovínky,244,162,159,0,0,8,0,18,4,0,9,1,1,12,9,0
536709,Strašnov,212,152,152,0,0,7,1,15,1,0,12,1,4,15,12,1
571881,Strážiště,101,79,79,0,0,12,0,2,1,0,15,3,0,15,6,0
536717,Strenice,137,85,85,0,0,7,0,3,4,0,9,1,2,13,3,0
565920,Sudoměř,81,56,55,0,0,2,0,3,0,0,4,0,0,5,8,0
536768,Sukorady,284,184,183,0,0,3,0,28,1,0,8,2,1,13,16,0
570982,Tuřice,237,170,170,0,0,8,0,38,7,0,7,2,0,24,4,1
570761,Ujkovice,90,62,62,0,0,7,0,1,0,0,1,0,0,7,1,2
536857,Velké Všelisy,294,191,189,0,1,30,0,11,0,0,9,1,2,7,29,0
565725,Veselice,111,78,78,0,0,9,1,1,4,0,5,1,0,7,7,0
565628,Vinařice,227,165,164,0,0,28,0,21,3,0,9,1,7,16,18,0
570842,Vinec,203,129,129,0,0,13,0,13,3,0,4,1,0,5,6,0
565571,Vlkava,347,215,214,0,0,14,0,27,1,0,10,1,3,18,15,1
572021,Vrátno,137,82,81,1,0,14,0,0,3,0,4,0,0,1,2,0
536938,Všejany,539,346,342,1,0,43,0,31,4,0,20,5,6,20,36,1
571814,Zdětín,434,278,273,0,0,29,0,33,1,0,14,7,5,35,16,1
536971,Žďár,1094,784,777,2,0,38,0,95,5,0,85,10,10,73,70,0
536989,Žerčice,324,196,196,0,0,16,0,13,0,0,9,2,4,24,11,0
536997,Židněves,268,173,172,0,0,18,0,24,3,0,6,1,0,12,17,0
